"STUDENT_ID","FIRST_NAME","COURSE_ID","EXAM_ID","MARKS"
710,"NINA",175,510,77
710,"NINA",176,500,91
720,"JACK",190,500,91
720,"JACK",193,520,97
720,"JACK",191,530,89
730,"NOAH",199,540,87
730,"NOAH",198,530,85
740,"RHONDA",197,570,70
740,"RHONDA",195,560,69
740,"RHONDA",199,570,76
750,"ROBERT",189,520,85
750,"ROBERT",175,510,97
750,"ROBERT",176,520,78
750,"ROBERT",192,500,60
760,"JEANNE",192,510,70
760,"JEANNE",187,530,60
760,"JEANNE",188,540,65
760,"JEANNE",190,540,79
770,"MILLS",187,550,99
770,"MILLS",188,560,91
780,"NATHAN",194,530,65
780,"NATHAN",193,530,61
780,"NATHAN",192,520,56
