"FACULTY_ID","PROFESOR","DEPARTAMENTO","SALARIO","CARGO","CURSO_ASIGNADO","COD_CURSO","TOTAL_CURSOS","SALARIO_POR_CURSO_APROX"
100,"Steven King","ACCOUNTING",4000,"Staff Faculty","COST ACCOUNTING",192,2,2000
100,"Steven King","ACCOUNTING",4000,"Staff Faculty","STRATEGIC TAX PLANNING FOR BUSINESS",193,2,2000
101,"Neena Kochhar","LITERATURE",6000,"Staff Faculty","BUSINESS WRITING",176,2,3000
101,"Neena Kochhar","LITERATURE",6000,"Staff Faculty","COLLEGE READING",189,2,3000
102,"Lex De Haan","BIOLOGY",15000,"Associate Faculty","INTRODUCTION TO PLANT PHYSIOLOGY",196,1,15000
103,"Alexander Hunold","BIOLOGY",9000,"Associate Faculty","GENERAL BIOLOGY",194,1,9000
104,"Bruce Ernst","ACCOUNTING",6000,"Senior Faculty","PRINCIPLES OF ACCOUNTING",190,2,3000
104,"Bruce Ernst","BIOLOGY",6000,"Senior Faculty","CELL BIOLOGY",195,2,3000
105,"David Austin","ACCOUNTING",4800,"Senior Faculty","INTRODUCTION TO BUSINESS LAW",191,1,4800
106,"Valli Pataballa","COMPUTER SCIENCE",28000,"Principal Faculty","WEB PROGRAMMING",199,2,14000
106,"Valli Pataballa","COMPUTER SCIENCE",28000,"Principal Faculty","SIMULATION AND MODELING",198,2,14000
107,"Diana Lorentz","COMPUTER SCIENCE",18000,"Principal Faculty","DATA STRUCTURES",187,2,9000
107,"Diana Lorentz","LITERATURE",18000,"Principal Faculty","AMERICAN LITERATURE",175,2,9000
108,"Nancy Greenberg","COMPUTER SCIENCE",21200,"Head of the Department","OOAD",188,1,21200
109,"Daniel Faviet","BIOLOGY",39000,"Head of the Department","MARINE BIOLOGY",197,1,39000
