"DEPARTMENT_ID","DEPARTAMENTO","JEFE_DE_DEPARTAMENTO","CURSO","COD_CURSO","SESION_ID","TOTAL_CURSOS_DEPARTAMENTO"
10,"ACCOUNTING","MARK SMITH","COST ACCOUNTING",192,100,4
10,"ACCOUNTING","MARK SMITH","INTRODUCTION TO BUSINESS LAW",191,100,4
10,"ACCOUNTING","MARK SMITH","PRINCIPLES OF ACCOUNTING",190,100,4
10,"ACCOUNTING","MARK SMITH","STRATEGIC TAX PLANNING FOR BUSINESS",193,100,4
20,"BIOLOGY","DAVE GOLD","INTRODUCTION TO PLANT PHYSIOLOGY",196,200,4
20,"BIOLOGY","DAVE GOLD","CELL BIOLOGY",195,200,4
20,"BIOLOGY","DAVE GOLD","GENERAL BIOLOGY",194,200,4
20,"BIOLOGY","DAVE GOLD","MARINE BIOLOGY",197,200,4
30,"COMPUTER SCIENCE","LINDA BROWN","SIMULATION AND MODELING",198,300,4
30,"COMPUTER SCIENCE","LINDA BROWN","WEB PROGRAMMING",199,300,4
30,"COMPUTER SCIENCE","LINDA BROWN","DATA STRUCTURES",187,300,4
30,"COMPUTER SCIENCE","LINDA BROWN","OOAD",188,300,4
40,"LITERATURE","ANITA TAYLOR","COLLEGE READING",189,100,3
40,"LITERATURE","ANITA TAYLOR","BUSINESS WRITING",176,200,3
40,"LITERATURE","ANITA TAYLOR","AMERICAN LITERATURE",175,300,3
