"PROFESOR","DEPARTAMENTO","SALARIO","CARGO","CURSO","COD_CURSO","TOTAL_CURSOS_DEL_PROFESOR"
"Bruce Ernst","BIOLOGY",6000,"Senior Faculty","CELL BIOLOGY",195,2
"Bruce Ernst","ACCOUNTING",6000,"Senior Faculty","PRINCIPLES OF ACCOUNTING",190,2
"Diana Lorentz","LITERATURE",18000,"Principal Faculty","AMERICAN LITERATURE",175,2
"Diana Lorentz","COMPUTER SCIENCE",18000,"Principal Faculty","DATA STRUCTURES",187,2
"Neena Kochhar","LITERATURE",6000,"Staff Faculty","BUSINESS WRITING",176,2
"Neena Kochhar","LITERATURE",6000,"Staff Faculty","COLLEGE READING",189,2
"Steven King","ACCOUNTING",4000,"Staff Faculty","COST ACCOUNTING",192,2
"Steven King","ACCOUNTING",4000,"Staff Faculty","STRATEGIC TAX PLANNING FOR BUSINESS",193,2
"Valli Pataballa","COMPUTER SCIENCE",28000,"Principal Faculty","SIMULATION AND MODELING",198,2
"Valli Pataballa","COMPUTER SCIENCE",28000,"Principal Faculty","WEB PROGRAMMING",199,2
"Alexander Hunold","BIOLOGY",9000,"Associate Faculty","GENERAL BIOLOGY",194,1
"Daniel Faviet","BIOLOGY",39000,"Head of the Department","MARINE BIOLOGY",197,1
"David Austin","ACCOUNTING",4800,"Senior Faculty","INTRODUCTION TO BUSINESS LAW",191,1
"Lex De Haan","BIOLOGY",15000,"Associate Faculty","INTRODUCTION TO PLANT PHYSIOLOGY",196,1
"Nancy Greenberg","COMPUTER SCIENCE",21200,"Head of the Department","OOAD",188,1
