"STUDENT_ID","STUDENT_NAME","EMAIL_ADDR","STUDENT_REG_YEAR","COURSE_ID","COURSE_NAME","DEPARTMENT_ID","DEPARTMENT_NAME","FACULTY_ID","FACULTY_NAME","SALARY","EXAM_TYPE","EXAM_NAME","MARKS","NO_OF_WORKING_DAYS","NO_OF_DAYS_OFF","ELIGIBILITY_FOR_EXAMS"
720,"JACK",,"2014-01-01T00:00:00Z",190,"PRINCIPLES OF ACCOUNTING",10,"ACCOUNTING",104,"Bruce Ernst",6000,"MCE","Multiple Choice Exams",91,180,21,"Y"
750,"ROBERT",,"2014-03-01T00:00:00Z",192,"COST ACCOUNTING",10,"ACCOUNTING",100,"Steven King",4000,"MCE","Multiple Choice Exams",60,180,14,"Y"
710,"NINA",,"2013-01-01T00:00:00Z",176,"BUSINESS WRITING",40,"LITERATURE",101,"Neena Kochhar",6000,"MCE","Multiple Choice Exams",91,180,20,"Y"
770,"MILLS",,"2015-04-01T00:00:00Z",187,"DATA STRUCTURES",30,"COMPUTER SCIENCE",107,"Diana Lorentz",18000,"TF","TRUE AND FALSE Exams",99,180,13,"Y"
740,"RHONDA",,"2014-09-01T00:00:00Z",195,"CELL BIOLOGY",20,"BIOLOGY",104,"Bruce Ernst",6000,"FIB","FILL IN THE BLANKS Exams",69,180,12,"Y"
770,"MILLS",,"2015-04-01T00:00:00Z",188,"OOAD",30,"COMPUTER SCIENCE",108,"Nancy Greenberg",21200,"FIB","FILL IN THE BLANKS Exams",91,180,13,"Y"
720,"JACK",,"2014-01-01T00:00:00Z",191,"INTRODUCTION TO BUSINESS LAW",10,"ACCOUNTING",105,"David Austin",4800,"ESS","ESSAY Exams",89,180,21,"Y"
760,"JEANNE",,"2014-03-01T00:00:00Z",187,"DATA STRUCTURES",30,"COMPUTER SCIENCE",107,"Diana Lorentz",18000,"ESS","ESSAY Exams",60,180,15,"Y"
780,"NATHAN",,"2016-01-01T00:00:00Z",193,"STRATEGIC TAX PLANNING FOR BUSINESS",10,"ACCOUNTING",100,"Steven King",4000,"ESS","ESSAY Exams",61,180,10,"Y"
780,"NATHAN",,"2016-01-01T00:00:00Z",194,"GENERAL BIOLOGY",20,"BIOLOGY",103,"Alexander Hunold",9000,"ESS","ESSAY Exams",65,180,10,"Y"
730,"NOAH",,"2014-06-01T00:00:00Z",198,"SIMULATION AND MODELING",30,"COMPUTER SCIENCE",106,"Valli Pataballa",28000,"ESS","ESSAY Exams",85,180,11,"Y"
750,"ROBERT",,"2014-03-01T00:00:00Z",175,"AMERICAN LITERATURE",40,"LITERATURE",107,"Diana Lorentz",18000,"SA","SHORT ANSWER Exams",97,180,14,"Y"
760,"JEANNE",,"2014-03-01T00:00:00Z",192,"COST ACCOUNTING",10,"ACCOUNTING",100,"Steven King",4000,"SA","SHORT ANSWER Exams",70,180,15,"Y"
710,"NINA",,"2013-01-01T00:00:00Z",175,"AMERICAN LITERATURE",40,"LITERATURE",107,"Diana Lorentz",18000,"SA","SHORT ANSWER Exams",77,180,20,"Y"
740,"RHONDA",,"2014-09-01T00:00:00Z",197,"MARINE BIOLOGY",20,"BIOLOGY",109,"Daniel Faviet",39000,"SA","SHORT ANSWER Exams",70,180,12,"Y"
740,"RHONDA",,"2014-09-01T00:00:00Z",199,"WEB PROGRAMMING",30,"COMPUTER SCIENCE",106,"Valli Pataballa",28000,"SA","SHORT ANSWER Exams",76,180,12,"Y"
720,"JACK",,"2014-01-01T00:00:00Z",193,"STRATEGIC TAX PLANNING FOR BUSINESS",10,"ACCOUNTING",100,"Steven King",4000,"LAB","LAB Exams",97,180,21,"Y"
750,"ROBERT",,"2014-03-01T00:00:00Z",176,"BUSINESS WRITING",40,"LITERATURE",101,"Neena Kochhar",6000,"LAB","LAB Exams",78,180,14,"Y"
750,"ROBERT",,"2014-03-01T00:00:00Z",189,"COLLEGE READING",40,"LITERATURE",101,"Neena Kochhar",6000,"LAB","LAB Exams",85,180,14,"Y"
780,"NATHAN",,"2016-01-01T00:00:00Z",192,"COST ACCOUNTING",10,"ACCOUNTING",100,"Steven King",4000,"LAB","LAB Exams",56,180,10,"Y"
760,"JEANNE",,"2014-03-01T00:00:00Z",188,"OOAD",30,"COMPUTER SCIENCE",108,"Nancy Greenberg",21200,"OB","OPEN BOOK Exams",65,180,15,"Y"
760,"JEANNE",,"2014-03-01T00:00:00Z",190,"PRINCIPLES OF ACCOUNTING",10,"ACCOUNTING",104,"Bruce Ernst",6000,"OB","OPEN BOOK Exams",79,180,15,"Y"
730,"NOAH",,"2014-06-01T00:00:00Z",199,"WEB PROGRAMMING",30,"COMPUTER SCIENCE",106,"Valli Pataballa",28000,"OB","OPEN BOOK Exams",87,180,11,"Y"
